word,freq
biohydrogen,30
settlement,30
practical,30
energy-efficient,30
laboratory,30
bio-based,30
swedish,30
in-situ,30
collaborative,30
off-grid,30
liquefaction,30
situation,30
resident,30
america,30
county,30
port,30
sub-saharan,30
greater,30
reserve,30
glass,30
energy-related,30
ccus,30
secondary,30
transboundary,30
situ,30
republic,30
converter,30
humid,29
morphology,29
cluster,29
neighborhood,29
agglomeration,29
utilisation,29
shanghai,29
livelihood,29
egypt,29
base,29
lithium-ion,29
center,29
refrigeration,29
evapotranspiration,29
alloy,29
woody,29
stable,29
asphalt,29
module,29
effort,28
ship,28
uptake,28
microalgal,28
perennial,28
past,28
dimension,28
user,28
annual,28
background,28
bioeconomy,28
power-to-gum,28
himalaya,28
volume,28
paradigm,28
line,28
netherland,28
citizen,28
apartment,28
replacement,28
input,28
municipality,28
nanoparticle,28
decline,28
alcohol,28
refrigerant,28
intrusion,28
connectivity,28
computational,28
nitrate,28
pluvial,28
manure,28
proton,28
income,27
ethylene,27
contribute,27
fermentation,27
tidal,27
sectoral,27
countermeasure,27
irrigate,27
kenya,27
southeast,27
southwest,27
thermoelectric,27
capital,27
participatory,27
willingness,27
severe,27
modular,27
powder,27
short,27
leakage,27
layer,27
selective,27
flue,27
bayesian,27
success,27
cooperative,27
lipid,27
commitment,26
spanish,26
elevate,26
atlantic,26
pellet,26
objective,26
period,26
possibility,26
seed,26
retention,26
ambient,26
tar,26
wave,26
feature,26
real-time,26
tank,26
inform,26
alkali,26
low-temperature,26
multi-model,26
deposition,26
provision,26
low-cost,26
hydrogenation,26
reference,26
high-rise,26
valorization,26
foundation,26
heavy-duty,26
glycerol,26
aquatic,26
nitrous,26
energetic,26
reforming,26
ester,26
sodium,26
alpine,26
budget,25
passenger,25
historic,25
intelligence,25
socio-technical,25
england,25
demand-side,25
hurricane,25
search,25
determine,25
low-energy,25
warm,25
gulf,25
programming,25
code,25
scientific,25
micro,25
yellow,25
husk,25
dual-fuel,25
resolution,25
french,25
combustor,25
bioreactor,25
free,25
determination,25
lignin,25
high-resolution,24
regeneration,24
plantation,24
engagement,24
cfd,24
heritage,24
article,24
wale,24
accelerate,24
radiation,24
higher,24
multus,24
methodological,24
plug-in,24
gis-based,24
perovskite,24
vertical,24
differential,24
traffic,24
analytic,24
indigenou,24
outdoor,24
equity,24
force,24
introduction,24
competition,24
prosumer,24
hierarchical,24
rooftop,24
common,24
external,24
advancement,24
initial,24
salinity,24
fluidize,24
intermittent,24
feedback,24
tanzania,24
definition,23
northeast,23
processing,23
fast,23
address,23
simple,23
mangrove,23
himalayan,23
zero-carbon,23
transient,23
maximum,23
grey,23
railway,23
electroreduction,23
megacity,23
promotion,23
prefabricate,23
ireland,23
big,23
reform,23
livestock,23
matrix,23
solar-driven,23
lifecycle,23
linear,23
morocco,23
florida,23
kong,23
shape,23
making,23
tolerance,23
special,23
riparian,23
internet,23
desert,23
accumulation,23
whole,23
important,23
cascade,23
fluctuation,23
optimize,23
middle,23
multi-scale,23
reactive,23
plasma,23
nus,23
native,23
boundary,23
char,23
silicon,23
reconstruction,23
fundamental,22
pay,22
meeting,22
grass,22
mapping,22
hub,22
rankine,22
nordic,22
rehabilitation,22
law,22
refurbishment,22
culture,22
saudi,22
reach,22
stabilization,22
microclimate,22
attitude,22
car,22
systemic,22
decentralize,22
best,22
competitive,22
hong,22
optimum,22
complexity,22
mortality,22
british,22
calibration,22
asset,22
dc,22
sensitive,22
refinery,22
acidification,22
interface,22
concern,22
wet,22
fatty,22
connection,22
robustness,22
fraction,22
full,22
spark,22
modification,22
limitation,22
beach,22
multivariate,22
nox,22
electrocatalytic,22
architectural,21
russia,21
philippine,21
vulnerable,21
political,21
weight,21
cost-effectiveness,21
produce,21
highway,21
sand,21
expert,21
logistics,21
delivery,21
scotland,21
cyclone,21
travel,21
competitiveness,21
institution,21
post,21
private,21
risk-based,21
interactive,21
molten,21
swat,21
chloride,21
outcome,21
plastic,21
map,21
bi-level,21
meteorological,21
decade,21
isotope,21
evaporation,21
biomethane,21
brine,21
hydro,21
reverse,21
hydrodynamic,21
guideline,20
educational,20
pandemic,20
nanomaterial,20
ii,20
column,20
quantify,20
intensification,20
mill,20
denmark,20
economical,20
shandong,20
employment,20
arabia,20
producer,20
scheduling,20
loess,20
jiangsu,20
blockchain,20
link,20
model-based,20
pulp,20
cmip6,20
peatland,20
neighbourhood,20
residence,20
mathematical,20
amazon,20
advantage,20
recycled,20
edge,20
maize,20
charge,20
long,20
surge,20
ionic,20
strain,20
presence,20
landfill,20
swiss,20
tower,20
compressive,20
fleet,20
predict,20
chemistry,20
radiative,20
multi-level,19
dependence,19
agroforestry,19
forestry,19
classification,19
safe,19
fischer-tropsch,19
grain,19
spatial-temporal,19
return,19
precursor,19
deal,19
climate-driven,19
output,19
york,19
protocol,19
facilitate,19
dea,19
attribution,19
vegetable,19
next,19
partnership,19
collaboration,19
oxy-fuel,19
evaporative,19
mekong,19
alteration,19
foreign,19
good,19
frame,19
induce,19
intensive,19
agent,19
hospital,19
insurance,19
sink,19
identify,19
heater,19
columbium,19
rotation,19
mobile,19
generate,19
tio2,19
semiarid,19
brick,19
tube,19
geologic,19
bamboo,19
magnesium,19
wild,19
foam,19
austria,19
fabrication,19
pilot-scale,19
meet,19
association,19
phenology,19
nonlinear,19
high-efficiency,19
capability,19
portland,19
high-density,19
upgrade,19
saline,19
air-conditioning,19
satellite,19
cool,18
right,18
inland,18
borehole,18
tibetan,18
old,18
metabolism,18
neutrality,18
switzerland,18
discourse,18
raw,18
benchmark,18
day-ahead,18
intention,18
firm,18
rain,18
combined,18
21st,18
daily,18
granular,18
caribbean,18
representative,18
coffee,18
climate-induce,18
colombia,18
achieve,18
propagation,18
endemic,18
becc,18
geospatial,18
age,18
high-performance,18
biogenic,18
enable,18
wildfire,18
sulfur,18
sorption,18
propulsion,18
exergetic,18
jatropha,18
tariff,18
velocity,18
aromatic,18
lithium,18
electrolyte,18
anode,18
copper,18
volatile,18
pcm,18
laminar,18
red,18
invasive,18
sponge,17
photocatalyst,17
adapt,17
cost-optimal,17
multi-stage,17
multiobjective,17
coal-based,17
stressor,17
aquaculture,17
export,17
tourist,17
programme,17
linkage,17
cost-benefit,17
characterisation,17
qualitative,17
value-added,17
rating,17
affordable,17
exploitation,17
ecosystem-based,17
multi-agent,17
suitable,17
sanitation,17
invasion,17
sichuan,17
ipcc,17
number,17
maritime,17
financing,17
adaptability,17
brief,17
awareness,17
lead,17
shock,17
paddy,17
autonomous,17
procedure,17
silica,17
baseline,17
methanation,17
deficit,17
origin,17
emergence,17
limestone,17
reality,17
pond,17
vector,17
potassium,17
crude,17
occurrence,17
bim,17
nation,17
nickel,17
persistence,17
sofc,17
zeolite,17
co-production,17
ion,17
lightweight,17
viable,17
h2o,17
si,17
gene,17
torrefaction,17
spring,17
release,17
mineralization,17
soot,17
distillation,17
gasifier,17
fixation,17
aqueou,17
patent,16
kyoto,16
centre,16
baltic,16
residual,16
inequality,16
smallholder,16
resiliency,16
agenda,16
fiscal,16
duration,16
multicriterion,16
soft,16
contemporary,16
srus,16
lifestyle,16
textile,16
student,16
miscanthus,16
bank,16
cultural,16
guangdong,16
cropland,16
subsurface,16
fresh,16
adjustment,16
floor,16
opinion,16
climate-smart,16
cge,16
stationary,16
olive,16
living,16
insect,16
rule,16
reflection,16
body,16
cleaner,16
sugar,16
pore,16
hybridization,16
date,16
redd,16
floodplain,16
plate,16
survival,16
decentralise,16
recirculation,16
attribute,16
sequential,16
substitute,16
hotel,16
n2o,16
dimethyl,16
last,16
ternary,16
probability,16
spillover,16
polygeneration,16
truck,16
appliance,16
rebound,16
permeability,16
cathode,16
upgrading,16
interfacial,16
fertilizer,16
nitrification,16
bacterial,16
sulfate,16
twin,16
film,16
magnetic,16
bipv,16
optical,16
shell,16
on-site,16
continental,16
biophysical,15
zimbabwe,15
dwelling,15
place,15
cmip5,15
maintenance,15
genomic,15
lanka,15
retail,15
obstacle,15
acceptability,15
prevention,15
representation,15
worldwide,15
hydrogen-based,15
hotspot,15
masonry,15
basis,15
appraisal,15
mean,15
demographic,15
street,15
equipment,15
end,15
friendly,15
societal,15
collection,15
work,15
fruit,15
northwest,15
tropic,15
certificate,15
fine,15
phenomenon,15
oceanic,15
image,15
correction,15
integrity,15
algeria,15
water-energy,15
online,15
coefficient,15
achievement,15
inundation,15
inhibitor,15
complementary,15
inorganic,15
geographical,15
asymmetric,15
vacuum,15
exergoeconomic,15
aluminum,15
electrolyzer,15
eco-efficiency,15
abundance,15
susceptibility,15
al2o3,15
season,15
depth,15
neutral,15
northeastern,15
spray,15
regenerative,15
particulate,15
peru,15
minimization,15
wildlife,15
premixed,15
geographic,15
largest,15
geochemical,15
biomass-based,15
elevational,15
cellulosic,15
ventilate,15
antarctic,15
perceive,14
chiller,14
cyanobacterium,14
prioritization,14
specific,14
diverse,14
territory,14
alga,14
much,14
explicit,14
interdisciplinary,14
help,14
garden,14
boost,14
report,14
informal,14
japanese,14
turtle,14
logic,14
valuation,14
expectation,14
beam,14
multiscale,14
latent,14
reactivity,14
afforestation,14
refugia,14
revolution,14
community-based,14
ancillary,14
activation,14
cellulose,14
scalable,14
relevance,14
basic,14
wireless,14
detailed,14
legal,14
minimum,14
mexican,14
scenario-based,14
feasible,14
ability,14
animal,14
core,14
tension,14
share,14
protein,14
sorghum,14
iberian,14
estuary,14
turbulent,14
ultra-low,14
sulfoaluminate,14
graphene,14
top-down,14
colorado,14
metabolic,14
hydrogen-rich,14
multifunctional,14
light-duty,14
fibre,14
effluent,14
available,14
splitting,14
bacterium,14
co-digestion,14
bagasse,14
array,14
automatic,14
polish,13
dryland,13
inner,13
agroecosystem,13
southeastern,13
sun,13
symbiosis,13
successful,13
social-ecological,13
divergent,13
civil,13
belt,13
cdm,13
shortage,13
desiccant,13
cement-based,13
peninsula,13
ecohydrological,13
cus,13
rio,13
circulation,13
improved,13
rare,13
decarbonize,13
macroeconomic,13
micro-grid,13
exploratory,13
aerobic,13
asean,13
ten,13
wettability,13
thermodynamics,13
london,13
database,13
swarm,13
tunisia,13
waste-to-energy,13
switchgrass,13
prototype,13
bottom,13
loop,13
biofilm,13
relevant,13
equation,13
invertebrate,13
fe,13
morphological,13
widespread,13
biomass-derive,13
seagrass,13
rubber,13
ceramic,13
giant,13
osmosis,13
horizon,13
fault,13
significance,13
coke,13
electron,13
examination,13
three-dimensional,13
formic,13
permanent,13
plasticity,13
aircraft,13
controller,13
substrate,13
polar,13
gaseou,13
driven,13
harvest,13
rotary,13
sewer,13
applicability,13
salmon,13
reproductive,13
tradeoff,13
two-step,13
sandstone,13
overall,13
guide,12
creation,12
sociotechnical,12
non-native,12
low-grade,12
jiangxi,12
dutch,12
appropriate,12
scope,12
convergence,12
legislation,12
zero-emission,12
channel,12
family,12
order,12
personal,12
lng,12
slurry,12
entropy,12
burden,12
mammal,12
lizard,12
responsible,12
romania,12
korean,12
econometric,12
spot,12
ecuador,12
computable,12
lmdi,12
behavioral,12
bituminou,12
endogenou,12
watershed,12
bidding,12
water-related,12
automotive,12
gain,12
hierarchy,12
snow,12
globalization,12
glacial,12
coating,12
oxidative,12
verification,12
movement,12
multi-purpose,12
behavioural,12
cooking,12
question,12
reclamation,12
record,12
deforestation,12
peer-to-peer,12
automobile,12
batch,12
responsibility,12
latin,12
pure,12
co-combustion,12
neutralization,12
efficacy,12
greener,12
reliable,12
fusion,12
nile,12
seasonality,12
dependent,12
horizontal,12
burner,12
maker,12
profitability,12
h2,12
bond,12
hydroelectric,12
compensation,12
transformer,12
quantity,12
karst,12
occupancy,12
high-pressure,12
superior,12
extinction,12
motor,12
filter,12
carbon-based,12
learning-based,12
organization,12
shrinkage,12
sedimentary,12
sensor,12
operating,12
bidirectional,12
rich,12
compute,12
tire,12
quantum,12
useful,12
white,12
marsh,12
headwater,12
igcc,12
indu,12
decathlon,12
assemblage,12
spruce,12
legacy,12
jordan,12
typology,11
ambitious,11
multi-regional,11
geometric,11
mongolium,11
integrative,11
revenue,11
upland,11
track,11
danish,11
corridor,11
kuznet,11
pollute,11
establishment,11
fracture,11
motivation,11
estate,11
suggestion,11
belgian,11
comment,11
realistic,11
cereal,11
topology,11
formulation,11
causal,11
technoeconomic,11
significant,11
politics,11
cyprus,11
extension,11
web,11
seismic,11
zhejiang,11
cyclic,11
macroinvertebrate,11
elevation,11
quebec,11
san,11
account,11
trust,11
decrease,11
murray-darling,11
inclusive,11
butterfly,11
ice,11
leap,11
city-scale,11
woodland,11
fossil-fuel,11
water-energy-food,11
respect,11
memory,11
mesoporous,11
compact,11
day,11
excess,11
fatigue,11
photothermal,11
orient,11
ultra-high,11
cope,11
interconnection,11
ontario,11
canopy,11
nh3,11
funding,11
outage,11
purification,11
chlorella,11
monthly,11
corporate,11
paradox,11
distance,11
condensation,11
incineration,11
manager,11
parallel,11
lignocellulose,11
hypothesis,11
unconventional,11
mountainou,11
adsorbent,11
conductivity,11
pool,11
differentiation,11
kw,11
czech,11
adaption,11
multidimensional,11
finnish,11
full-scale,11
agrivoltaic,11
circuit,11
constant,11
singapore,11
gypsum,11
layout,11
metal-organic,11
rail,11
isolate,11
cooler,11
aluminium,11
carbonization,11
blue-green,11
cumulative,11
co-pyrolysis,11
hydrolysis,11
russian,11
south-eastern,11
trigeneration,11
energy-water,11
cryogenic,11
signal,11
hydrogeological,11
single-family,11
climate-related,11
refuge,11
charger,11
nanocomposite,11
bubble,11
n-2,11
microstructural,11
air-source,11
bulk,11
pulverize,11
bloom,11
phenological,11
hydroclimatic,10
anthropocene,10
delay,10
random,10
hydro-economic,10
container,10
serbia,10
quantile,10
frontier,10
quota,10
dark,10
secure,10
ande,10
ancient,10
multidisciplinary,10
readiness,10
cape,10
silver,10
three-stage,10
viewpoint,10
ndc,10
open-source,10
software,10
swot,10
clinker,10
responsive,10
course,10
energy-efficiency,10
north-east,10
rangeland,10
collective,10
low-income,10
volcanic,10
essential,10
medium-size,10
dot,10
coverage,10
typhoon,10
breeding,10
disease,10
upstream,10
iii,10
analyze,10
change-induce,10
carbon-free,10
geometry,10
transit,10
mcdm,10
northwestern,10
retreat,10
assumption,10
guidance,10
sub-basin,10
credit,10
regulate,10
greek,10
beijing-tianjin-hebei,10
mainland,10
jakarta,10
flash,10
well-being,10
hygrothermal,10
time-varying,10
permafrost,10
dominant,10
ash-based,10
airport,10
discrete,10
ict,10
top,10
allowance,10
federal,10
ac,10
sandy,10
amendment,10
high-volume,10
rainfed,10
threshold,10
altitude,10
gcm,10
contact,10
end-use,10
salinization,10
monte,10
carlo,10
externality,10
equivalent,10
oscillation,10
southwestern,10
surplus,10
qatar,10
saltwater,10
mature,10
texa,10
vapor,10
lv,10
soybean,10
lowland,10
alkane,10
resonance,10
spectrometry,10
rheological,10
extent,10
non-stationary,10
conductive,10
cross,10
electrolytic,10
parabolic,10
immobilization,10
tunnel,10
duty,10
factory,10
concentrator,10
silicate,10
transparent,10
stainless,10
lignite,10
malawu,10
solar-powered,10
accident,10
nonstationary,10
arab,10
room,10
formate,10
imagery,10
avian,10
shoreline,10
hollow,10
building-integrated,10
alp,10
root,10
spectral,10
rainforest,10
colonization,10
dust,10
bimetallic,10
modulation,10
dye,10
heterojunction,10
incorporation,9
voluntary,9
productive,9
dedicate,9
norwegian,9
climate-resilient,9
investor,9
adult,9
photosynthetic,9
reforestation,9
emphasis,9
barley,9
satisfaction,9
reversible,9
transformative,9
eco-city,9
remediation,9
valorisation,9
peruvian,9
preparedness,9
reflective,9
albedo,9
bee,9
dispatchable,9
super,9
academic,9
turkish,9
copenhagen,9
practitioner,9
cobalt,9
belief,9
queensland,9
sme,9
bim-based,9
whale,9
placement,9
section,9
hard,9
english,9
buffer,9
shipping,9
nanotube,9
late,9
member,9
ready,9
psychological,9
understand,9
aspen,9
conference,9
ahp,9
blade,9
semiconductor,9
vessel,9
procurement,9
forward,9
monsoon,9
sorbent,9
tokyo,9
elasticity,9
cao,9
narrative,9
substation,9
geography,9
create,9
vehicle-to-grid,9
bipolar,9
intermittency,9
authority,9
inclusion,9
peri-urban,9
interplay,9
socio-environmental,9
cchp,9
riverine,9
neotropical,9
colombian,9
durable,9
dependency,9
redox,9
disruption,9
additional,9
coppice,9
sweet,9
error,9
rhine,9
physiological,9
attack,9
inertia,9
supply-demand,9
slow,9
city-level,9
flat,9
gb,9
cylinder,9
autotrophic,9
audit,9
deposit,9
complementarity,9
crystalline,9
supplementary,9
cloud,9
electronic,9
croatia,9
ammonium,9
table,9
master,9
sierra,9
real-world,9
